ID_Cliente,Edad,Ciudad,Compras_Realizadas,Total_Gastado,Dias_Entre_Compras,Categoria_Favorita,Porcentaje_Compra_Online,Cliente_Frecuente
C0001,61,Tlalnepantla,2,8227.07,181.0,Accesorios,48,No
C0002,25,Toluca,15,22430.36,29.0,Computo,64,Si
C0003,21,CDMX,9,11945.08,48.0,Almacenamiento,78,Si
C0004,31,Toluca,2,2129.84,184.0,Computo,98,No
C0005,35,Naucalpan,9,15109.23,45.0,Computo,69,Si
C0006,60,Toluca,9,15527.55,32.0,Audio,89,Si
C0007,19,CDMX,9,22949.52,40.0,Monitores,24,Si
C0008,46,Toluca,9,7040.47,48.0,Computo,74,Si
C0009,64,CDMX,10,2000.0,28.0,Computo,51,No
C0010,48,Ecatepec,10,11641.5,46.0,Computo,80,Si
C0011,23,Toluca,7,19679.77,60.0,Almacenamiento,80,Si
C0012,63,Toluca,2,11309.63,174.0,Monitores,50,No
C0013,24,Toluca,9,14670.0,31.0,Accesorios,13,Si
C0014,45,Ecatepec,5,12295.28,68.0,Computo,78,Si
C0015,38,Ecatepec,3,8964.74,118.0,Computo,65,No
C0016,23,Naucalpan,9,15638.8,51.0,Almacenamiento,78,Si
C0017,21,Tlalnepantla,4,5613.46,89.0,Monitores,66,No
C0018,64,Toluca,11,27653.28,32.0,Accesorios,66,Si
C0019,27,Toluca,6,8925.11,73.0,Computo,85,No
C0020,66,Toluca,7,21318.47,43.0,Almacenamiento,69,Si
C0021,61,Tlalnepantla,7,13886.29,66.0,Computo,35,Si
C0022,29,Naucalpan,7,29489.48,59.0,Accesorios,44,Si
C0023,54,CDMX,7,12735.2,51.0,Almacenamiento,0,Si
C0024,31,Tlalnepantla,5,15629.79,77.0,Almacenamiento,73,Si
C0025,56,CDMX,9,21606.61,47.0,Audio,84,Si
C0026,46,Toluca,6,6136.16,55.0,Computo,62,No
C0027,40,Tlalnepantla,5,13087.32,69.0,Computo,29,No
C0028,32,Naucalpan,4,12770.45,98.0,Accesorios,56,No
C0029,66,Naucalpan,8,26156.41,59.0,Accesorios,57,Si
C0030,42,Tlalnepantla,5,10117.87,62.0,Computo,42,No
C0031,43,Tlalnepantla,9,17375.91,58.0,Almacenamiento,62,Si
C0032,45,CDMX,2,2720.69,179.0,Audio,61,No
C0033,28,CDMX,10,6207.5,45.0,Monitores,6,Si
C0034,24,Tlalnepantla,8,30388.43,38.0,Audio,51,Si
C0035,32,Toluca,7,19818.22,48.0,Accesorios,54,Si
C0036,67,Naucalpan,4,15078.62,97.0,Computo,13,No
C0037,27,CDMX,8,23522.3,53.0,Accesorios,90,Si
C0038,67,Toluca,5,6175.19,63.0,Almacenamiento,42,No
C0039,38,Ecatepec,12,11162.56,32.0,Audio,63,Si
C0040,68,Ecatepec,8,20825.17,39.0,Computo,54,Si
C0041,21,CDMX,6,17549.8,47.0,Almacenamiento,1,Si
C0042,56,CDMX,4,8562.48,78.0,Monitores,40,No
C0043,69,CDMX,6,11176.44,53.0,Monitores,37,Si
C0044,24,Naucalpan,11,2200.0,37.0,Computo,54,No
C0045,33,Tlalnepantla,5,1000.0,62.0,Audio,50,No
C0046,36,Tlalnepantla,3,10637.54,121.0,Computo,48,No
C0047,39,Toluca,13,41747.09,25.0,Accesorios,94,Si
C0048,39,Ecatepec,13,39883.64,34.0,Computo,44,Si
C0049,56,Tlalnepantla,8,13694.97,35.0,Accesorios,42,Si
