ID_Venta,Fecha,Producto,Categoria,Precio_Unitario,Cantidad_Vendida,Promocion,Sucursal,Canal,Venta_Total
1,2025-01-01,Laptop Air 13,Computo,14266.52,8,Si,Toreo,Marketplace,114132.16
2,2025-01-03,SSD 1TB,Almacenamiento,1765.84,6,Si,Toreo,Tienda,10595.04
3,2025-01-05,Laptop Air 13,Computo,14890.64,6,No,Satélite,Tienda,89343.84
4,2025-01-07,Bocina Portatil,Audio,1494.87,9,No,Toreo,Tienda,13453.83
5,2025-01-09,Audifonos Bluetooth,Audio,1128.98,6,No,Toreo,Tienda,6773.88
6,2025-01-11,Audifonos Bluetooth,Audio,1084.49,10,Si,Naucalpan,Marketplace,10844.9
7,2025-01-13,Teclado Mecanico,Accesorios,1309.14,8,Si,Satélite,Tienda,10473.12
8,2025-01-15,SSD 1TB,Almacenamiento,1807.65,3,No,Naucalpan,Marketplace,5422.95
9,2025-01-17,Monitor 27,Monitores,6069.42,10,Si,Toreo,Tienda,60694.2
10,2025-01-19,Laptop Air 13,Computo,14471.4,6,No,Naucalpan,Tienda,86828.4
11,2025-01-21,Mouse Inalambrico,Accesorios,678.38,6,No,Toreo,Marketplace,4070.28
12,2025-01-23,Monitor 24,Monitores,3768.73,8,No,Satélite,Web,30149.84
13,2025-01-25,SSD 1TB,Almacenamiento,1798.3,4,No,Centro,Tienda,7193.2
14,2025-01-27,Mouse Inalambrico,Accesorios,634.9,2,No,Centro,Marketplace,1269.8
15,2025-01-29,Mouse Inalambrico,Accesorios,676.95,5,No,Satélite,Tienda,3384.75
16,2025-01-31,Teclado Mecanico,Accesorios,1218.33,4,No,Naucalpan,Marketplace,4873.32
17,2025-02-02,Memoria USB 128GB,Almacenamiento,466.53,9,No,Centro,Marketplace,4198.77
18,2025-02-04,Bocina Portatil,Audio,1487.09,8,Si,Toreo,Tienda,11896.72
19,2025-02-06,Monitor 24,Monitores,3937.4,5,No,Satélite,Marketplace,19687.0
20,2025-02-08,Teclado Mecanico,Accesorios,1272.54,8,Si,Toreo,Marketplace,10180.32
21,2025-02-10,SSD 1TB,Almacenamiento,1713.86,7,No,Centro,Web,11997.02
22,2025-02-12,Laptop Pro 14,Computo,19372.99,5,No,Centro,Marketplace,96864.95
23,2025-02-14,Laptop Air 13,Computo,14354.39,8,No,Naucalpan,Tienda,114835.12
24,2025-02-16,SSD 1TB,Almacenamiento,1767.32,7,Si,Satélite,Tienda,12371.24
25,2025-02-18,Laptop Air 13,Computo,14515.12,10,No,Satélite,Tienda,145151.2
26,2025-02-20,Memoria USB 128GB,Almacenamiento,460.11,6,Si,Satélite,Tienda,2760.66
27,2025-02-22,SSD 1TB,Almacenamiento,1758.72,9,No,Naucalpan,Marketplace,15828.48
28,2025-02-24,Memoria USB 128GB,Almacenamiento,502.29,9,No,Centro,Marketplace,4520.61
29,2025-02-26,Teclado Mecanico,Accesorios,1242.26,10,No,Satélite,Tienda,12422.6
30,2025-02-28,Monitor 27,Monitores,5929.7,7,No,Toreo,Marketplace,41507.9
31,2025-03-02,SSD 1TB,Almacenamiento,1786.37,7,No,Toreo,Tienda,12504.59
32,2025-03-04,Laptop Air 13,Computo,15332.26,10,Si,Toreo,Marketplace,153322.6
33,2025-03-06,Monitor 27,Monitores,5972.03,7,No,Satélite,Tienda,41804.21
